show_id,show_canonical_name,show_clips_count,show_description,show_episodes_count,show_genre,show_genres,show_name,show_rating,show_seasons_count,show_series_id,show_videos_count,show_company_id,show_company_channel_id,show_company_name,show_genres
2138,one-piece,4,"Monkey D. Luffy refuses to let anyone or anything stand in the way of his quest to become king of all pirates. With a course charted for the treacherous waters of the Grand Line, this is one captain whoâ€™ll never drop anchor until heâ€™s claimed the greatest treasure on Earth â€“ the Legendary One Piece!",747,Anime,Anime~International~Japanese,One Piece,4.146686059,11,11787,751,222,268,Toei Animation,Anime~International~Japanese
6290,the-voice,1024,"Four famous musician coaches will each select singers to mentor into artists during the blind auditions. Once they have their teams, the star coaches will bring in their personal songwriters, producers, and high-powered friends to help their teams evolve. Ultimately, America will decide which singer will be worthy of the grand prize.",0,Reality and Game Shows,Reality and Game Shows~Competition~Music~Teen~Family,The Voice,4.1234969,0,50003167,1024,2,24,NBC,Reality and Game Shows~Competition~Music~Teen~Family
22638,doc-mcstuffins,0,"A magical animated series about a six-year-old girl, Doc McStuffins, who has the ability to talk to and heal toys and stuffed animals! With the help of her stuffed animal friends, Doc runs a clinic for toys out of her playhouse. The series emphasizes the importance of lending a helping hand, or paw, when people and toys need it most.",92,Animation and Cartoons,Animation and Cartoons~Kids,Doc McStuffins,3.503616156,3,50020770,92,873,50000672,Disney Junior,Animation and Cartoons~Kids
148,hells-kitchen,1,An unscripted culinary boot camp that features the drama of aspiring restaurateurs competing for world-renowned Chef Gordon Ramsayâ€™s approval and the chance to become Americaâ€™s next culinary star.,0,Reality and Game Shows,Reality and Game Shows~Competition~Food~Cooking Competitions~Family,Hell's Kitchen,4.05219787,0,15,1,8,2,FOX,Reality and Game Shows~Competition~Food~Cooking Competitions~Family
21027,empire,200,"From Academy Award nominee Lee Daniels (â€œLee Danielsâ€™ The Butler,â€ù â€œPreciousâ€ù) and Emmy Award winner Danny Strong (â€œGame Change,â€ù â€œLee Danielsâ€™ The Butlerâ€ù), comes EMPIRE, a sexy and powerful new drama about the head of a music empire whose three sons and wife all battle for his throne. Set to an original soundtrack written and produced by hip-hop hitmaker Timbaland, the family drama stars Academy Award nominee Terrence Howard (â€œCrash,â€ù â€œHustle & Flowâ€ù) and Academy Award and Emmy Award nominee Taraji P. Henson (â€œPerson of Interest,â€ù â€œThe Curious Case of Benjamin Buttonâ€ù).",48,Drama,Drama~Soap Operas~Music~Musicals,Empire,4.57500889,3,50019341,248,8,2,FOX,Drama~Soap Operas~Music~Musicals
35,its-always-sunny-in-philadelphia,8,"Wednesdays at 10pm on FXX. It's Always Sunny in Philadelphia features Mac, Dennis, Charlie, Sweet Dee and Frank, five neâ€™er-do-wells who own and operate Paddyâ€™s Pub in Philadelphia. Their constant scheming usually lands them in a world of hurt, yet they never seem to learn from their mistakes. As they say, some things never change. So prepare for more depraved schemes, half-baked arguments and absurdly underhanded plots to subvert one another.It's Always Sunny in Philadelphia was created by Rob McElhenney and is executive produced by Rob McElhenney, Charlie Day, Glenn Howerton, Michael Rotenberg, Nicholas Frenkel, Tom Lofaro, Rob Rosell, Scott Marder and David Hornsby. An FX Networks Original Series.",123,Comedy,Comedy~Sitcoms,It's Always Sunny in Philadelphia,4.478408089,11,395,131,697,50000479,FXX,Comedy~Sitcoms
150,keeping-up-with-the-kardashians,683,Keeping Up with the Kardashians takes viewers inside the hectic lives of Hollywood's modern-day Brady Bunch. Can two famous clans come together as one united front? Or will their individual lust for the limelight end up fracturing the family?,181,Reality and Game Shows,Reality and Game Shows~Real Life Drama~Teen,Keeping Up With the Kardashians,3.211605378,12,1101,864,13,5,E! Entertainment,Reality and Game Shows~Real Life Drama~Teen
15094,the-good-wife,1,"Julianna Margulies (ER) ignites the screen as Alicia Florrick, the political wife whose world is shattered when her husband (Chris Noth, Sex & the City, Law & Order) is caught in a sex and corruption scandal. Forced to support her family, Alicia returns to work at a Chicago law firm headed by Diane Lockhart (Emmy and Tony Award winner Christine Baranski) and Will Gardner (Josh Charles), a driven attorney with a passion for justice. A gripping blend of courtroom drama, politics and steamy personal relationships, THE GOOD WIFE features an A-List cast of regulars and guest stars like Michael J. Fox, Matthew Perry and Rita Wilson. Hailed by the Chicago Tribune for its â€œdeluxe production values, smart writing, and outstanding array of actors,â€ù the series earned 14 Emmy nominations in its first two seasons alone. With fascinating characters and timely scripts torn from the headlines, the verdict is in: THE GOOD WIFE is great entertainment.",156,Drama,Drama~Crime and Courtroom Drama,The Good Wife,4.560711786,7,50012096,157,430,50000185,CBS,Drama~Crime and Courtroom Drama
13844,curious-george,0,"For nearly 65 years, generations of young children have been charmed by the literary adventures of Curious George. Now George is ready for his next big adventure! Based on the best-selling Curious George books by Margret and H.A. Rey, the series expands Georgeâ€™s world to include a host of colorful new characters and original locales, while maintaining the charm of the beloved books. The series aims to inspire kids to explore science, math, and engineering in the world around them.",108,Kids,Kids~Comedy~Animation and Cartoons,Curious George,3.578587476,9,50011225,108,727,50000510,Universal Television,Kids~Comedy~Animation and Cartoons
1304,naruto,0,"The Village Hidden in the Leaves is home to the stealthiest ninja in the land.  But twelve years earlier, a fearsome Nine-tailed Fox terrorized the village before it was subdued and its spirit sealed within the body of a baby boy--Naruto Uzumaki!",440,Anime,Anime~Anime - Action Adventure~International~Japanese,Naruto,4.212936615,4,10348,440,960,50000741,Viz Media,Anime~Anime - Action Adventure~International~Japanese
15360,the-goldbergs,169,"The Goldbergs are a loving family like any other, just with a lot more yelling, but for geeky 11-year old Adam these were his wonder years and he faced them armed with a video camera to capture all the crazy.",95,Comedy,Comedy~Sitcoms~Family,The Goldbergs,4.384575644,4,50012945,264,231,282,ABC,Comedy~Sitcoms~Family
19738,blackish,229,"Andre 'Dre' Johnson has a great job, a beautiful wife, Rainbow, four kids, and a colonial home in the 'burbs. But has success brought too much assimilation for this black family?",72,Comedy,Comedy~Sitcoms~Family,Black-ish,4.23707817,3,50017742,301,231,282,ABC,Comedy~Sitcoms~Family
2259,desperate-housewives,323,"ABC's Desperate Housewives offers a deliciously juicy glimpse into the lives of everyone's favorite housewives. On the surface, the ladies of Wisteria Lane appear to be the picture of suburban America. But underneath lay bigger mysteries - infidelity, deceit, blackmail, and even murder. And with not-so-honest husbands, complicated relationships, family drama and meddling neighbors adding to the turmoil, it's no wonder things aren't always as they seem.",180,Drama,Drama,Desperate Housewives,3.698476373,8,11971,503,231,282,ABC,Drama
7889,csi-crime-scene-investigation,0,"""CSI: Crime Scene Investigation"" is a fast-paced drama about a team of forensic investigators trained to solve crimes by examining the evidence. They are on the case 24/7, scouring the scene, collecting the irrefutable evidence and finding the missing pieces that will solve the mystery.",337,Drama,Drama~Crime and Courtroom Drama,CSI: Crime Scene Investigation,4.496905704,16,50004835,337,16,7,USA,Drama~Crime and Courtroom Drama
3433,archer,14,"Archer chronicles an international spy agency and the lives of its employees. Although their work of espionage, reconnaissance missions, wiretapping and undercover surveillance is daunting and dangerous, every covert operation and global crisis is actually just another excuse for the staff to undermine, sabotage and betray each other for personal gain. ",85,Animation and Cartoons,Animation and Cartoons~Primetime Animation~Action and Adventure~Espionage~Comedy,Archer,4.448908555,7,50000287,99,697,50000479,FXX,Animation and Cartoons~Primetime Animation~Action and Adventure~Espionage~Comedy
16937,broad-city,60,"A bottle of wine tastes just as good when you pay with all pennies. That's a fact. And no matter what the city throws at twenty-somethings Abbi and Ilana, these broads are all in. Catch the totally fresh, new series based on the acclaimed digital shorts.",30,Comedy,Comedy,Broad City,4.642177106,3,50014621,90,99,129,Comedy Central,Comedy
8322,americas-next-top-model,0,"Young women of various backgrounds, shapes and sizes compete to prove that they can make it in the high-stress, high-stakes world of modeling. With mentoring by supermodel Tyra Banks and exposure to prolific fashion-industry gurus, the finalists compete in an accelerated modeling boot camp. Participants learn to master complicated catwalks, fashion photo shoots and perfect publicity skills, all under 24-hour-a-day surveillance of the cameras that chronicle every move.",283,Reality and Game Shows,Reality and Game Shows~Teen,America's Next Top Model,3.541373579,22,50005389,283,430,50000185,CBS,Reality and Game Shows~Teen
17312,the-tonight-show-starring-jimmy-fallon,3442,"Join Jimmy Fallon for a daily mix of jokes, sketches, celebrity interviews and musical guests.",18,Comedy,Comedy~Late Night Comedy,The Tonight Show Starring Jimmy Fallon,4.155577697,1,50014971,3460,2,24,NBC,Comedy~Late Night Comedy
8898,key-and-peele,96,"Tired of watching just one comedian at a time? Get a pair. Catch sketch comedy masters and best friends Keegan-Michael Key and Jordan Peele for a half hour of irreverent wit, pop-culture impressions and escalating absurdity.",53,Comedy,Comedy~Sketch Comedy,Key & Peele,4.438184167,5,50006165,149,99,129,Comedy Central,Comedy~Sketch Comedy
29524,the-golden-girls,1,"The Golden Girls is the story of four older women who share a house in Miami Beach, Florida. Bea Arthur plays Dorothy, a divorced school teacher, with a sardonic wit. Rue McClanahan plays Blanche, a man-hunting Southern Belle. Betty White plays Rose, a very sweet woman who is somewhat spacey. Rounding out the trio is Estelle Getty, playing Dorothy's outspoken mother, Sophia. ",180,Classics,Classics~Comedy~Sitcoms,The Golden Girls,4.591255389,7,50027692,181,170,204,ABC Studios,Classics~Comedy~Sitcoms
21721,steven-universe,102,"Steven Universe is about the misadventures of a boy named Steven, the ultimate ""little brother"" to a team of magical guardians of humanityâ€”the Crystal Gems. Steven may not be as powerful as the Crystal Gems. Or as savvy. But that doesn't stop him from joining Garnet, Amethyst and Pearl on their magical adventures and somehow finding a way to save the day!",102,Comedy,Comedy~Kids~Teen,Steven Universe,4.416828893,3,50019892,204,855,50000651,Cartoon Network,Comedy~Kids~Teen
57,kitchen-nightmares,1,An unscripted series in which Gordon Ramsay attempts to turn deserted restaurants into the most sought-after venues in town.,92,Reality and Game Shows,Reality and Game Shows~Real Life Drama~Food~Family,Kitchen Nightmares,4.019048561,6,23,93,8,2,FOX,Reality and Game Shows~Real Life Drama~Food~Family
21985,the-last-man-on-earth,65,"The year is 2020, and after a deadly virus has swept the planet, only one man is left on earth: Phil Miller (Will Forte). He used to be just an average guy who loved his family and hated his job. Now, in his RV, Phil searches the country for other survivors. He has traveled to every city, every town and every outpost in the United States, Mexico and Canada, and has found no one. As he returns to his hometown of Tucson, Phil comes to the painful realization that he is almost certainly the last living being on the face of the earth. All he wants is for someone â€“ anyone â€“ to find him in Tucson â€“ preferably a woman. ",48,Comedy,Comedy~Science Fiction,The Last Man on Earth,4.339346137,3,50020342,113,8,2,FOX,Comedy~Science Fiction
5638,yu-gi-oh,4,"Meet Yugi, an eager young freshman at Domino High School. Yugi and his best friends, Joey, Tristan, and Tea share a love of a cool new game that's sweeping the nation...Duel Monsters! In this card-battling game, players pit different mystical creatures against one another in action-packed, high intensity duels.",236,Anime,Anime~Anime - Tournament~Teen~Videogames,Yu-Gi-Oh!,3.674606741,5,50002567,240,645,50000417,4K Media,Anime~Anime - Tournament~Teen~Videogames
23200,elementary,1,ELEMENTARY stars Jonny Lee Miller as detective Sherlock Holmes and Lucy Liu as Dr. Joan Watson in a modern-day drama about a crime-solving duo that cracks the NYPDâ€™s most impossible cases.,120,Drama,Drama~Crime and Courtroom Drama,Elementary,4.574669187,5,50021483,121,430,50000185,CBS,Drama~Crime and Courtroom Drama
969,americas-got-talent,171,America votes in the ultimate talent show to determine which act deserves a million dollars.,12,Reality and Game Shows,Reality and Game Shows~Competition~Teen,America's Got Talent,3.335469442,1,240,183,2,24,NBC,Reality and Game Shows~Competition~Teen
12844,sabrina-the-teenage-witch,0,"Sabrina is a normal teenager, except for one thing -- she's a witch! Guided by her aunts, who come from a long line of witches, and Salem, a mischievous warlock doing penance as a black cat, Sabrina continually struggles to harness her powers while wittingly wreaking havoc on friends and foes alike. While struggling through the growing pains associated with being a witch and getting into lots of harmless trouble along the way, Sabrina realizes that magic is not quite as easy as pointing your finger.",163,Family,Family~Comedy~Teen,Sabrina: The Teenage Witch,3.905827813,7,50010208,163,430,50000185,CBS,Family~Comedy~Teen
2458,shark-tank,18,"From Executive Producer Mark Burnett comes an inventive new reality series you can sink your teeth into. Budding entrepreneurs with big ideas can still make their dreams come true and ABC is about to give them the chance to make it happen. Each week a group of self-made millionaires from all corners of the business world take their own hard earned money and offer everyday people their one true shot at making their dreams a reality. Some will sink, some will swim and some will be eaten alive.",5,Reality and Game Shows,Reality and Game Shows~Real Life Drama~Family,Shark Tank,4.278262211,2,12191,23,231,282,ABC,Reality and Game Shows~Real Life Drama~Family
12138,teenage-mutant-ninja-turtles,44,"Master Splinter allows the Turtles to visit the surface for the first time, where they'll learn the importance of working as a team, uncover the mystery of their existence, and face fearsome enemies such as the Kraang and the ruthless Shredder.",100,Kids,Kids~Animation and Cartoons~Teen,Teenage Mutant Ninja Turtles,3.779686511,4,50009406,144,584,50000347,Nickelodeon,Kids~Animation and Cartoons~Teen
51,arrested-development,249,"In this critically acclaimed series, Michael Bluth is forced to help his wildly eccentric family pick up the pieces after its wealthy patriarch is arrested and its assets frozen.",53,Comedy,Comedy~Sitcoms,Arrested Development,4.687830774,3,412,302,10,45,Fox Television Classics,Comedy~Sitcoms
1861,stargate-sg-1,0,"Step through the stargate with SG-1, a team of soldiers and scientists, as they travel instantaneously to other planets to explore, forge alliances, defuse crises, establish trade, investigate ancient mysteries, and defend Earth from such hostile forces as the Goa'uld, the Replicators, and the Ori.",214,Science Fiction,Science Fiction~Family,Stargate SG-1,4.315301436,10,11387,214,28,30,MGM,Science Fiction~Family
6901,fairy-tail,0,"When four young wizards from the most destructive guild in Fiore team up to take jobs, they forge a bond more powerful than any magic and grow stronger with every mission. Whatever you do, don't mess with these friends or you'll get burned!",349,Anime,Anime~International~Japanese,Fairy Tail,4.520954045,8,50003897,349,135,174,Funimation,Anime~International~Japanese
177,top-chef,1510,"Top Chef offers a fascinating window into the competitive, pressure-filled environment of world class cookery and the restaurant business at the highest level. The series features seventeen aspiring chefs who compete for their shot at culinary stardom and the chance to earn the prestigious title of ""Top Chef.""",203,Reality and Game Shows,Reality and Game Shows~Competition~Food~Cooking Competitions~Family,Top Chef,4.252735987,13,211,1713,14,33,Bravo,Reality and Game Shows~Competition~Food~Cooking Competitions~Family
9673,scandal,167,"A former media relations consultant to the President, Olivia Pope (Kerry Washington) dedicates her life to protecting and defending the public images of our nation's elite. After leaving the White House, the power consultant opened her own firm, hoping to start a new chapter -- both professionally and personally -- but she can't seem to completely cut ties with her past. Slowly it becomes apparent that her staff, who specialize in fixing the lives of other people, can't quite fix the ones closest at hand -- their own.",5,Drama,Drama,Scandal,4.711270845,1,50004665,172,231,282,ABC,Drama
11217,smallville,0,"After a meteor shower bursts from the heavens, raining destruction on the unsuspecting citizens of Smallville, years pass, and the healing process leaves the town's inhabitants with scars and secrets. From the ashes of tragedy, a popular yet awkward teen attempts to decipher the meaning of his life and his clouded past.",218,Drama,Drama~Romance~Science Fiction~Action and Adventure~Teen~Family,Smallville,4.467553413,10,50008446,218,73,103,Warner Bros.,Drama~Romance~Science Fiction~Action and Adventure~Teen~Family
7281,grimm,44,"From executive producers David Greenwalt (Angel, Buffy the Vampire Slayer) and Jim Kouf (Angel, National Treasure) comes a new world of police work where all cases have a storybook connection, but not always happily ever after.",5,Action and Adventure,Action and Adventure~Drama~Mystery~Horror and Suspense~Family,Grimm,4.600659796,1,50004356,49,2,24,NBC,Action and Adventure~Drama~Mystery~Horror and Suspense~Family
28409,this-is-us,71,"From the writer and director of Crazy, Stupid, Love comes a smart, modern new dramedy that will challenge your everyday presumptions about the people you think you know.",18,Drama,Drama~Comedy~Romantic Comedy,This Is Us,4.795632995,1,50026581,89,2,24,NBC,Drama~Comedy~Romantic Comedy
4726,masterchef,146,"A culinary competition series that searches for the best home cooks in America, and through a series of exciting elimination rounds, will turn one of them into a culinary master.",10,Food,Food~Cooking Competitions~Reality and Game Shows~Health and Wellness~Family,MasterChef,4.217078235,1,50001553,156,8,2,FOX,Food~Cooking Competitions~Reality and Game Shows~Health and Wellness~Family
15896,the-thundermans,0,"The Thundermans are just like any other American family, but they're superheroes! Watch this super family battle some serious sibling rivalry and eventually work together to use their extraordinary powers to create an ordinary life!",69,Kids,Kids~Teen,The Thundermans,4.024492557,3,50013405,69,584,50000347,Nickelodeon,Kids~Teen
13482,vikings,0,The name Viking is synonymous with extreme violence and terror. But few people know what it was really like to live in the world of the Viking.  This scripted drama will use real characters from history to humanize the Viking and authentically re-create the Viking Age.,49,Action and Adventure,Action and Adventure~Military and War,Vikings,4.78311932,4,50010890,49,182,231,History,Action and Adventure~Military and War
4483,pretty-little-liars,7,"Four estranged best friends are reunited one year after the queen bee of the group, Alison, goes missing. When they begin to receive disturbing messages from someone named â€œAâ€ù, how far will they go to bury their secrets?",5,Drama,Drama~Teen,Pretty Little Liars,4.498914555,1,50001387,12,977,50000765,Freeform,Drama~Teen
5725,jersey-shore,33,"Young adults move into a summer share to indulge in everything Seaside Heights, New Jersey has to offer. Jersey Shore uncovers sometimes surprising, often hilarious and usually over-the-top personalities.",74,Reality and Game Shows,Reality and Game Shows~Real Life Drama~Teen,Jersey Shore,3.5956574,6,50002718,107,372,50000114,MTV,Reality and Game Shows~Real Life Drama~Teen
